CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
VANDERVIS Lee	elected	1	7493	118	2854.266666667	0.278106065
GAREY Christine	elected	1	3959	118	2854.266666667	0.395754757
WHILEY Andrew	elected	1	3323	118	2854.266666667	0.425612136
O'MALLEY Jim	elected	1	3243	118	2854.266666667	0.402730785
RADICH Jules	elected	2	3207.16740452	441.088681615	2832.727421226	0.503100125
BENSON-POPE David	elected	45	2841.709148184	1075.631647414	2790.42455684	0.655724701
LAUFISO Marie	elected	51	2939.966469196	1405.489693801	2768.434020414	0.70256447
HOULAHAN Carmen	elected	60	2797.282529522	1800.634668234	2742.091022118	0.763128959
ELDER Rachel	elected	60	2764.529080317	1800.634668234	2742.091022118	0.75317135
BARKER Sophie	elected	62	2769.68325845	1908.802358045	2734.879842798	0.757643282
WALKER Steve	elected	69	2775.916655904	2340.347730646	2706.110151291	0.877862476
STAYNES Chris	elected	69	2721.839176589	2340.347730646	2706.110151291	0.8893854
HALL Doug	elected	71	2727.625415621	2519.295147782	2694.180323482	0.920307035
LORD Mike	elected	79	2672.78071905	2882.598561575	2669.960095896	1
NEWELL Damian	excluded	79	2511.209923496	2882.598561575	2669.960095896	0
LUND Russell	excluded	67	2014.389372466	1972.23220174	2730.651186551	0
BARLIN Bob	excluded	59	1817.928253307	1628.776479151	2753.548234724	0
DAVIE-NITIS Sarah	excluded	52	1510.950980163	1445.144616002	2765.790358934	0
MAYHEM-BULLOCK Mandy	excluded	50	1410.44333073	1223.413024383	2780.572465042	0
HANAN Dave	excluded	46	1208.991589621	1086.958977853	2789.669401477	0
BARBOUR-EVANS Scout	excluded	44	1142.311869371	1007.0614673380001	2794.995902178	0
CAMPBELL Finn	excluded	41	1001.169182976	909.632839667	2801.491144023	0
GUTHRIE John	excluded	37	796.326844978	834.587415219	2806.494172319	0
MONCRIEF-SPITTLE Malcolm	excluded	36	478.662351435	769.621831077	2810.825211262	0
SEAGER Richard	excluded	35	473.769107763	738.749562222	2812.883362519	0
MARRABLE John	excluded	31	444.676457099	696.749671152	2815.683355257	0
MORRIS George	excluded	28	362.494978267	658.030372017	2818.264641866	0
MILLER Brian	excluded	27	356.125753755	629.268077561	2820.182128163	0
LINDSEY Jason	excluded	20	342.472377886	605.466456747	2821.768902884	0
JEMMETT Neville K	excluded	17	262.655597814	583.100093462	2823.25999377	0
ROBINSON-LEWIS Hadley	excluded	16	231.657069757	568.317631218	2824.245491253	0
FORSYTH Hugh	excluded	14	168.787376062	557.128457743	2824.991436151	0
STEELE-MACINTOSH Callum	excluded	13	136.018760291	547.198503226	2825.653433119	0
MACKENZIE Peter	excluded	12	120.108321472	541.587898001	2826.027473467	0
KENNY Anthony	excluded	10	116.578857624	535.647153545	2826.423523098	0
JAMES Muthiah	excluded	7	108.099027063	528.8363378	2826.877577481	0
HAWKINS Aaron	excluded	1	0	118	2854.266666667	0
