ITER	CANDIDATE	VOTES
1	BROWN Mark	339
1	MAYHEM-BULLOCK Mandy	337
1	MORRISON Alasdair	238
1	BARRATT Andy	231
1	TAIT Geraldine	134
1	BILLYARD Sonya	132
1	STRINGER-WRIGHT Rose	124
1	PARKER Rafferty	94
2	MORRISON Alasdair	285.189140574
2	BARRATT Andy	260.553887423
2	MAYHEM-BULLOCK Mandy	244.181717088
2	BROWN Mark	244.14760008
2	TAIT Geraldine	161.264929413
2	BILLYARD Sonya	151.36936189
2	STRINGER-WRIGHT Rose	137.878010438
2	PARKER Rafferty	120.770730878
3	BROWN Mark	246.598703167
3	BARRATT Andy	242.618640196
3	MAYHEM-BULLOCK Mandy	239.724482258
3	MORRISON Alasdair	239.360315388
3	TAIT Geraldine	182.502252375
3	BILLYARD Sonya	164.784305488
3	STRINGER-WRIGHT Rose	148.054623749
3	PARKER Rafferty	131.258466013
4	MORRISON Alasdair	235.940127453
4	BARRATT Andy	233.443698378
4	BROWN Mark	232.841763611
4	MAYHEM-BULLOCK Mandy	231.922978417
4	TAIT Geraldine	192.240740329
4	BILLYARD Sonya	172.230960461
4	STRINGER-WRIGHT Rose	153.136851426
4	PARKER Rafferty	137.272677653
5	BROWN Mark	229.810598844
5	MORRISON Alasdair	229.749401943
5	BARRATT Andy	229.667253012
5	MAYHEM-BULLOCK Mandy	228.990765771
5	TAIT Geraldine	197.100332812
5	BILLYARD Sonya	175.544196958
5	STRINGER-WRIGHT Rose	155.528371045
5	PARKER Rafferty	139.936693533
6	MAYHEM-BULLOCK Mandy	261.46287659
6	BARRATT Andy	248.515272554
6	BROWN Mark	236.399925216
6	MORRISON Alasdair	235.724380351
6	TAIT Geraldine	219.678798268
6	BILLYARD Sonya	190.21435249
6	STRINGER-WRIGHT Rose	173.558139455
6	PARKER Rafferty	0
7	TAIT Geraldine	237.691380865
7	MORRISON Alasdair	233.626835092
7	BARRATT Andy	232.057546048
7	BROWN Mark	231.921573222
7	MAYHEM-BULLOCK Mandy	227.777517616
7	BILLYARD Sonya	202.771372531
7	STRINGER-WRIGHT Rose	184.800295595
7	PARKER Rafferty	0
8	TAIT Geraldine	229.444304078
8	MORRISON Alasdair	227.946599788
8	BARRATT Andy	227.791431561
8	BROWN Mark	227.174414552
8	MAYHEM-BULLOCK Mandy	226.066059379
8	BILLYARD Sonya	211.136608973
8	STRINGER-WRIGHT Rose	192.578740085
8	PARKER Rafferty	0
9	TAIT Geraldine	225.696966012
9	MORRISON Alasdair	224.429223856
9	BARRATT Andy	224.289790259
9	BROWN Mark	223.900427685
9	MAYHEM-BULLOCK Mandy	223.101798468
9	BILLYARD Sonya	216.85976851
9	STRINGER-WRIGHT Rose	197.888626876
9	PARKER Rafferty	0
10	TAIT Geraldine	222.857645001
10	MORRISON Alasdair	222.098146778
10	BARRATT Andy	222.034378552
10	BROWN Mark	221.775092811
10	MAYHEM-BULLOCK Mandy	221.277189265
10	BILLYARD Sonya	220.677341497
10	STRINGER-WRIGHT Rose	201.454376275
10	PARKER Rafferty	0
