ITER	CANDIDATE	VOTES
1	NASH Thomas	9173
1	BLAKELEY Roger	5970
1	HUGHES Glenda	5658
1	PONTER Daran	5148
1	RITCHIE Helene	4056
1	LEE David	3787
1	RHODES-CARLIN Victoria	3326
1	FORD Jill	2205
1	DE LORENZO Tony	1383
1	SOMERS Sam	1292
1	QUIN Phil	1271
1	MIHAKA Troy	1168
1	O'BRIEN Philip	1150
1	BRUCE Gavin	1125
1	SALINGER Lesleigh	989
1	JANSEN Tony	816
1	GARSIDE Alexander	788
1	KOCHUNNY Anand	637
1	KLAPHAKE John	606
1	PENDER Bryce	547
1	LEGARTH Yvonne	521
1	MILNE Deane	166
1	WILSON Ray	115
2	NASH Thomas	8649.50000882
2	BLAKELEY Roger	6015.82693698
2	HUGHES Glenda	5670.2699769
2	PONTER Daran	5253.46473168
2	RITCHIE Helene	4088.35849722
2	LEE David	3835.28093236
2	RHODES-CARLIN Victoria	3428.21176106
2	FORD Jill	2231.2520436
2	DE LORENZO Tony	1387.50850314
2	SOMERS Sam	1308.32192276
2	QUIN Phil	1284.86792738
2	MIHAKA Troy	1191.45563026
2	O'BRIEN Philip	1152.22571674
2	BRUCE Gavin	1129.79385144
2	SALINGER Lesleigh	993.90799076
2	JANSEN Tony	821.47868736
2	GARSIDE Alexander	797.30235458
2	KOCHUNNY Anand	643.22059294
2	KLAPHAKE John	609.1388313
2	PENDER Bryce	551.16608518
2	LEGARTH Yvonne	531.04426016
2	MILNE Deane	167.31260218
2	WILSON Ray	115.2853483
3	NASH Thomas	8647.410146388
3	BLAKELEY Roger	6024.422276362
3	HUGHES Glenda	5673.42937661
3	PONTER Daran	5254.892638846
3	RITCHIE Helene	4100.778867618
3	LEE David	3841.908151684
3	RHODES-CARLIN Victoria	3433.539597714
3	FORD Jill	2235.59308484
3	DE LORENZO Tony	1394.567073266
3	SOMERS Sam	1313.591772498
3	QUIN Phil	1288.105897176
3	MIHAKA Troy	1193.760343194
3	O'BRIEN Philip	1155.31244216
3	BRUCE Gavin	1134.856128536
3	SALINGER Lesleigh	998.087372752
3	JANSEN Tony	825.549861184
3	GARSIDE Alexander	797.423201802
3	KOCHUNNY Anand	645.35921594
3	KLAPHAKE John	618.17960797
3	PENDER Bryce	554.220206942
3	LEGARTH Yvonne	532.174745504
3	MILNE Deane	169.329654242
3	WILSON Ray	0
4	NASH Thomas	8647.219817766
4	BLAKELEY Roger	6033.180089946
4	HUGHES Glenda	5682.691032912
4	PONTER Daran	5260.813856264
4	RITCHIE Helene	4106.431470958
