ITER	CANDIDATE	VOTES
1	NAYLOR Karen	8956
1	FINDLAY Lew	5155
1	DENNISON Vaughan	4835
1	WARREN Jenny	4092
1	BROWNING Heather	4059
1	WALDON John	3820
1	HANCOCK Muriel	3633
1	FEYEN Michael	3346
1	LOCK Dorothy	2480
1	WARWICK Shelly	2286
1	TAYLER Rebecca	1250
1	PAUSE Cat	1172
1	ASTARTE	985
1	GREGORY Adrian	772
1	PILLOW Leslie	249
2	NAYLOR Karen	5886.250001936
2	FINDLAY Lew	5566.996370888
2	DENNISON Vaughan	5353.251674528
2	BROWNING Heather	4316.412042044
2	WARREN Jenny	4301.768534928
2	WALDON John	4079.125837264
2	HANCOCK Muriel	3882.528584032
2	FEYEN Michael	3450.884267464
2	LOCK Dorothy	2662.690570452
2	WARWICK Shelly	2415.562918632
2	TAYLER Rebecca	1449.828522652
2	PAUSE Cat	1254.26217056
2	ASTARTE	1019.2759044
2	GREGORY Adrian	825.813169908
2	PILLOW Leslie	271.27933786
3	NAYLOR Karen	5858.951019192
3	FINDLAY Lew	5584.022619552
3	DENNISON Vaughan	5379.157582036
3	BROWNING Heather	4337.166436376
3	WARREN Jenny	4326.183719904
3	WALDON John	4111.034248192
3	HANCOCK Muriel	3907.950923716
3	FEYEN Michael	3466.091859952
3	LOCK Dorothy	2689.106156604
3	WARWICK Shelly	2431.212525784
3	TAYLER Rebecca	1470.229703024
3	PAUSE Cat	1271.882108468
3	ASTARTE	1029.813186932
3	GREGORY Adrian	834.936733352
3	PILLOW Leslie	0
4	NAYLOR Karen	5887.258073435
4	FINDLAY Lew	5678.398860725
4	DENNISON Vaughan	5425.936226575
4	BROWNING Heather	4406.39377623
4	WARREN Jenny	4378.27617812
4	WALDON John	4178.345825325
4	HANCOCK Muriel	4032.99329409
4	FEYEN Michael	3534.63808906
4	LOCK Dorothy	2732.916414785
4	WARWICK Shelly	2531.798816675
4	TAYLER Rebecca	1506.324129025
4	PAUSE Cat	1284.93061589
4	ASTARTE	1043.462897245
4	GREGORY Adrian	0
4	PILLOW Leslie	0
5	NAYLOR Karen	5882.390164584
5	FINDLAY Lew	5771.007650184
5	DENNISON Vaughan	5542.4363386860005
5	BROWNING Heather	4624.998497211
5	WARREN Jenny	4439.067622905
5	WALDON John	4219.565437101
5	HANCOCK Muriel	4162.718169343
5	FEYEN Michael	3606.282240414
5	LOCK Dorothy	2785.175409796
5	WARWICK Shelly	2570.601229479
5	TAYLER Rebecca	1545.003825092
5	PAUSE Cat	1362.664071019
5	ASTARTE	0
5	GREGORY Adrian	0
5	PILLOW Leslie	0
6	NAYLOR Karen	5925.258309769
6	FINDLAY Lew	5885.420864761
6	DENNISON Vaughan	5647.234258482
6	BROWNING Heather	4763.085664915
6	WARREN Jenny	4543.910276422
6	WALDON John	4359.19002614
6	HANCOCK Muriel	4280.530524833
6	FEYEN Michael	3684.825231599
6	LOCK Dorothy	2898.597192747
6	WARWICK Shelly	2669.693455356
6	TAYLER Rebecca	1652.916195361
6	ASTARTE	0
6	GREGORY Adrian	0
6	PAUSE Cat	0
6	PILLOW Leslie	0
7	NAYLOR Karen	5958.259586622
7	FINDLAY Lew	5883.041367471
7	DENNISON Vaughan	5807.268486617
7	BROWNING Heather	4959.964210017
7	WARREN Jenny	4772.750033927
7	WALDON John	4755.090769409
7	HANCOCK Muriel	4440.503310064
7	FEYEN Michael	3740.073369715
7	LOCK Dorothy	3027.987307456
7	WARWICK Shelly	2816.92172862
7	ASTARTE	0
7	GREGORY Adrian	0
7	PAUSE Cat	0
7	PILLOW Leslie	0
7	TAYLER Rebecca	0
8	DENNISON Vaughan	5827.824838866
8	FINDLAY Lew	5803.442877371
8	NAYLOR Karen	5792.33017709
8	BROWNING Heather	4994.508908452
8	WARREN Jenny	4795.42263638
8	WALDON John	4788.254617752
8	HANCOCK Muriel	4475.95102318
8	FEYEN Michael	3759.460879658
8	LOCK Dorothy	3048.54490641
8	WARWICK Shelly	2831.707653719
8	ASTARTE	0
8	GREGORY Adrian	0
8	PAUSE Cat	0
8	PILLOW Leslie	0
8	TAYLER Rebecca	0
9	NAYLOR Karen	6019.622792839
9	DENNISON Vaughan	5921.046059512
9	FINDLAY Lew	5894.900906022
9	WARREN Jenny	5364.280873659
9	BROWNING Heather	5297.94699525
9	WALDON John	5199.327046318
9	HANCOCK Muriel	4699.862441493
9	FEYEN Michael	3897.575606817
9	LOCK Dorothy	3280.658787468
9	ASTARTE	0
9	GREGORY Adrian	0
9	PAUSE Cat	0
9	PILLOW Leslie	0
9	TAYLER Rebecca	0
9	WARWICK Shelly	0
10	DENNISON Vaughan	5793.337642045
10	FINDLAY Lew	5785.451697466
10	NAYLOR Karen	5756.798325021
10	WARREN Jenny	5417.331271711
10	BROWNING Heather	5388.147712838
10	WALDON John	5275.564529593
10	HANCOCK Muriel	4783.774413758
10	FEYEN Michael	3944.228888461
10	LOCK Dorothy	3328.424249149
10	ASTARTE	0
10	GREGORY Adrian	0
10	PAUSE Cat	0
10	PILLOW Leslie	0
10	TAYLER Rebecca	0
10	WARWICK Shelly	0
11	NAYLOR Karen	6012.500744997
11	DENNISON Vaughan	5899.917328113
11	FINDLAY Lew	5890.4251436820005
11	BROWNING Heather	5786.357861163
11	WARREN Jenny	5720.435048401
11	WALDON John	5669.471568477
11	HANCOCK Muriel	5457.414852341
11	FEYEN Michael	4126.494328545
11	ASTARTE	0
11	GREGORY Adrian	0
11	LOCK Dorothy	0
11	PAUSE Cat	0
11	PILLOW Leslie	0
11	TAYLER Rebecca	0
11	WARWICK Shelly	0
12	DENNISON Vaughan	5773.606520344
12	WALDON John	5752.803127647
12	BROWNING Heather	5746.811973477
12	FINDLAY Lew	5725.040529183
12	NAYLOR Karen	5704.153993555
12	HANCOCK Muriel	5696.470234877
12	WARREN Jenny	5693.203662546
12	FEYEN Michael	4229.799426654
12	ASTARTE	0
12	GREGORY Adrian	0
12	LOCK Dorothy	0
12	PAUSE Cat	0
12	PILLOW Leslie	0
12	TAYLER Rebecca	0
12	WARWICK Shelly	0
