CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
NAYLOR Karen	elected	1	8956	0	5886.250000001	0.518322074
FINDLAY Lew	elected	6	5885.420864761	779.337999615	5788.832750049	0.860442035
DENNISON Vaughan	elected	7	5807.268486617	928.139830082	5770.23252124	0.876000952
BROWNING Heather	elected	11	5786.357861163	2526.983124281	5570.377109465	0.962674146
WARREN Jenny	elected	11	5720.435048401	2526.983124281	5570.377109465	0.97376809
WALDON John	elected	11	5669.471568477	2526.983124281	5570.377109465	0.982521395
HANCOCK Muriel	elected	12	5696.470234877	2768.110531717	5540.236183536	1
FEYEN Michael	excluded	12	4229.799426654	2768.110531717	5540.236183536	0
LOCK Dorothy	excluded	10	3328.424249149	1616.941269958	5684.132341256	0
WARWICK Shelly	excluded	8	2831.707653719	972.551481122	5764.68106486	0
TAYLER Rebecca	excluded	6	1652.916195361	779.337999615	5788.832750049	0
PAUSE Cat	excluded	5	1362.664071019	578.089344186	5813.988831977	0
ASTARTE	excluded	4	1043.462897245	468.32680282	5827.709149648	0
GREGORY Adrian	excluded	3	834.936733352	392.261176916	5837.217352886	0
PILLOW Leslie	excluded	2	271.27933786	354.070092452	5841.991238444	0
