CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
ARBUCKLE Jamie	elected	1	2,624.000000000	0.000000000	1,152.250000001	0.323113735
ANDREWS Jenny	elected	1	1,303.000000000	0.000000000	1,152.250000001	0.480503148
PETERS Mark	elected	1	1,281.000000000	0.000000000	1,152.250000001	0.529375888
FITZPATRICK Michael	elected	13	1,153.666413227	160.344131043	1,132.206983620	0.687495683
CROAD David	elected	18	1,129.543001397	273.262366511	1,118.092204187	0.788932196
SOWMAN Thelma	elected	21	1,126.926536099	493.254962309	1,090.593129712	0.913443723
DAWSON Brian	elected	24	1,096.536180544	569.877850356	1,081.015268706	1.000000000
DALLIESSI Deborah	excluded	24	985.622380980	569.877850356	1,081.015268706	0.000000000
DAWSON Cyril	excluded	19	620.012711753	287.698100140	1,116.287737483	0.000000000
CHAPMAN Peter	excluded	17	486.065624201	216.556265149	1,125.180466857	0.000000000
MARTIN Meg	excluded	14	383.173501383	166.339807754	1,131.457524031	0.000000000
SUTHERLAND Robin	excluded	12	335.461559279	148.167817661	1,133.729022793	0.000000000
WATSON Pete	excluded	10	301.450406704	124.967738904	1,136.629032638	0.000000000
FLIGHT Matt	excluded	8	217.673301659	108.565174815	1,138.679353149	0.000000000
SKINNER Phil	excluded	7	92.013354613	96.904680367	1,140.136914955	0.000000000
ROODAKKER Gerry	excluded	6	87.428387303	89.776787386	1,141.027901577	0.000000000
