ITER	CANDIDATE	VOTES
1	BROOKS Cynthia	1,052.000000000
1	HOPE Gerald	716.000000000
1	MAHER Francis	706.000000000
1	ADAMS Scott	679.000000000
1	ARBUCKLE Sally	502.000000000
1	VINK Philip	338.000000000
2	BROOKS Cynthia	1,084.600523835
2	HOPE Gerald	791.984790560
2	MAHER Francis	774.941064360
2	ADAMS Scott	754.780655705
2	ARBUCKLE Sally	547.963165225
2	VINK Philip	0.000000000
3	BROOKS Cynthia	1,144.247480208
3	HOPE Gerald	912.692612208
3	ADAMS Scott	899.965458272
3	MAHER Francis	897.341497168
3	ARBUCKLE Sally	0.000000000
3	VINK Philip	0.000000000
4	HOPE Gerald	971.009166637
4	BROOKS Cynthia	963.561762387
4	MAHER Francis	954.292324327
4	ADAMS Scott	943.395585458
4	ARBUCKLE Sally	0.000000000
4	VINK Philip	0.000000000
5	BROOKS Cynthia	961.414557703
5	MAHER Francis	960.995908367
5	HOPE Gerald	959.815239951
5	ADAMS Scott	947.037779007
5	ARBUCKLE Sally	0.000000000
5	VINK Philip	0.000000000
