CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
UTIKERE Tangi	elected	1	2734	0	1285.750000001	0.302266165
FINDLAY Lew	elected	1	2126	0	1285.750000001	0.351344453
BARRETT Brent	elected	1	1568	0	1285.750000001	0.513927804
BOWEN Rachel	elected	1	1364	0	1285.750000001	0.434257131
NAYLOR Karen	elected	1	1329	0	1285.750000001	0.418401129
DENNISON Vaughan	elected	2	1418.458744965	81.423525245	1280.661029673	0.478467143
BATY Susan	elected	5	1278.134147814	123.652060269	1278.021746234	0.54552632
HANDCOCK Patrick (Pat)	elected	23	1278.799169303	385.302014317	1261.668624106	0.611457253
RUTHERFORD Aleisha	elected	24	1260.91347102	425.933992251	1259.129125485	0.592644829
HAPETA Leonie	elected	35	1256.733379832	536.036826153	1252.247698366	0.626125347
JOHNSON Lorna	elected	49	1247.533844889	686.973590248	1242.81415061	0.798333795
MEEHAN Billy	elected	55	1255.085498451	894.473462884	1229.84540857	0.821682862
PETRENAS Bruno	elected	56	1239.068298317	943.509877991	1226.780632626	0.861188181
DINGWALL Renee	elected	59	1229.126967104	1050.412935556	1220.099191528	0.936438002
BUTT Zulfiqar	elected	68	1214.418763855	1213.764163821	1209.889739762	1
ASQUITH Andy	excluded	68	1127.9675054	1213.764163821	1209.889739762	0
LOCKWOOD Latham	excluded	53	924.822382235	708.300590401	1241.4812131	0
O'FEE Marty	excluded	45	772.320941057	544.909495651	1251.693156522	0
MCCANN Duncan	excluded	31	694.308997935	450.040837712	1257.622447644	0
KIKHOUNGA-N'GOT P. Hussein	excluded	23	400.011593082	385.302014317	1261.668624106	0
BYRNES Nick	excluded	22	367.644568815	357.369097715	1263.414431393	0
RAHIM Atif	excluded	19	332.340882948	224.827948336	1271.69825323	0
BUTLER Mel	excluded	16	310.024091697	189.813984034	1273.886625998	0
LANE David	excluded	13	287.795908048	169.075824947	1275.182760941	0
TE PAPA Nola	excluded	10	147.255255002	151.643874642	1276.272257835	0
WILSON Nathan	excluded	9	109.97841866	135.29325225	1277.294171735	0
DIANU Iulian	excluded	7	100.521028505	124.853950328	1277.946628105	0
