ITER,CANDIDATE,VOTES
1,UTIKERE Tangi,2444
1,FINDLAY Lew,1948
1,BARRETT Brent,1330
1,BOWEN Rachel,1198
1,NAYLOR Karen,1182
1,DENNISON Vaughan,1078
1,HANDCOCK Patrick (Pat),856
1,BATY Susan,853
1,RUTHERFORD Aleisha,745
1,JOHNSON Lorna,656
1,HAPETA Leonie,654
1,PETRENAS Bruno,542
1,ASQUITH Andy,537
1,BUTT Zulfiqar,518
1,O'FEE Marty,513
1,MEEHAN Billy,500
1,DINGWALL Renee,497
1,LOCKWOOD Latham,405
1,MCCANN Duncan,394
1,RAHIM Atif,256
1,KIKHOUNGA-N'GOT P. Hussein,243
1,BYRNES Nick,223
1,BUTLER Mel,219
1,LANE David,204
1,TE PAPA Nola,96
1,DIANU Iulian,75
1,WILSON Nathan,68
2,NAYLOR Karen,1324.338055114
2,BOWEN Rachel,1282.733529534
2,DENNISON Vaughan,1258.76180159
2,BARRETT Brent,1225.814153693
2,FINDLAY Lew,1219.647173766
2,UTIKERE Tangi,1191.860894271
2,BATY Susan,1088.119228372
2,HANDCOCK Patrick (Pat),995.224887838
2,RUTHERFORD Aleisha,907.405302464
2,HAPETA Leonie,802.489880007
2,JOHNSON Lorna,771.725502171
2,PETRENAS Bruno,656.325485511
2,MEEHAN Billy,627.515912654
2,ASQUITH Andy,603.352009887
2,DINGWALL Renee,596.235485117
2,BUTT Zulfiqar,573.090173768
2,O'FEE Marty,547.961459895
2,MCCANN Duncan,472.133921509
2,LOCKWOOD Latham,462.243873253
2,KIKHOUNGA-N'GOT P. Hussein,284.223736954
2,RAHIM Atif,268.615490626
2,BYRNES Nick,248.359400329
2,BUTLER Mel,240.649208512
2,LANE David,227.085974438
2,TE PAPA Nola,117.925665347
2,WILSON Nathan,88.180818851
2,DIANU Iulian,79.815134365
3,NAYLOR Karen,1181.237761564
3,DENNISON Vaughan,1177.34757577
3,BOWEN Rachel,1176.884493396
3,FINDLAY Lew,1165.242624383
3,UTIKERE Tangi,1158.308220287
3,BARRETT Brent,1154.642819362
3,BATY Susan,1147.859946504
3,HANDCOCK Patrick (Pat),1026.858868662
3,RUTHERFORD Aleisha,954.983399665
3,HAPETA Leonie,844.911527989
3,JOHNSON Lorna,801.66838555
3,PETRENAS Bruno,680.468597317
3,MEEHAN Billy,664.138952274
3,DINGWALL Renee,631.101006441
3,ASQUITH Andy,622.793330218
3,BUTT Zulfiqar,588.441734948
3,O'FEE Marty,562.459994712
3,MCCANN Duncan,496.853510256
3,LOCKWOOD Latham,485.729723937
3,KIKHOUNGA-N'GOT P. Hussein,293.613657819
3,RAHIM Atif,271.715080275
3,BYRNES Nick,263.14483873
3,BUTLER Mel,251.748946093
3,LANE David,236.736073425
3,TE PAPA Nola,121.453963362
3,WILSON Nathan,93.701437341
3,DIANU Iulian,81.706383781
4,BATY Susan,1152.068804109
4,NAYLOR Karen,1149.230396632
4,BOWEN Rachel,1147.331980148
4,DENNISON Vaughan,1147.059066684
4,FINDLAY Lew,1143.311022098
4,UTIKERE Tangi,1140.763808539
4,BARRETT Brent,1140.106058491
4,HANDCOCK Patrick (Pat),1037.915005828
4,RUTHERFORD Aleisha,970.629485842
4,HAPETA Leonie,859.982010628
4,JOHNSON Lorna,811.449878979
4,PETRENAS Bruno,688.915259544
4,MEEHAN Billy,676.670875984
4,DINGWALL Renee,640.570010324
4,ASQUITH Andy,628.955620812
4,BUTT Zulfiqar,593.345230261
4,O'FEE Marty,567.090641445
4,MCCANN Duncan,505.025537695
4,LOCKWOOD Latham,493.277148003
4,KIKHOUNGA-N'GOT P. Hussein,296.633351455
4,RAHIM Atif,272.7223391
4,BYRNES Nick,268.382370191
4,BUTLER Mel,255.571662483
4,LANE David,239.847936385
4,TE PAPA Nola,122.631794826
4,WILSON Nathan,95.522577109
4,DIANU Iulian,82.366837696
5,BOWEN Rachel,1139.363484176
5,NAYLOR Karen,1139.007385555
5,BATY Susan,1138.983942457
5,DENNISON Vaughan,1138.69533464
5,FINDLAY Lew,1137.020228865
5,UTIKERE Tangi,1135.825887699
5,BARRETT Brent,1135.59071835
5,HANDCOCK Patrick (Pat),1042.335617227
5,RUTHERFORD Aleisha,976.439601777
5,HAPETA Leonie,866.467716631
5,JOHNSON Lorna,815.208836407
5,PETRENAS Bruno,692.334115106
5,MEEHAN Billy,681.229876802
5,DINGWALL Renee,643.939510611
5,ASQUITH Andy,631.37559469
5,BUTT Zulfiqar,595.304031008
5,O'FEE Marty,568.834749197
5,MCCANN Duncan,508.117834811
5,LOCKWOOD Latham,496.16247751
5,KIKHOUNGA-N'GOT P. Hussein,297.751990742
5,RAHIM Atif,273.08310675
5,BYRNES Nick,270.800253502
5,BUTLER Mel,257.380383534
5,LANE David,241.007619654
5,TE PAPA Nola,123.036270313
5,WILSON Nathan,96.16522101
