ITER	CANDIDATE	VOTES
1	NGATAI Karen	509
1	WHEELER Kim	354
1	COSFORD Graeme	256
1	DOYLE Adie	246
1	GRAM Robyn	240
1	WINDELL Jacques	180
1	WHEELER Elaine	94
2	WHEELER Kim	355.371558102
2	NGATAI Karen	320.476484814
2	GRAM Robyn	291.702374976
2	DOYLE Adie	290.738697351
2	COSFORD Graeme	286.069409673
2	WINDELL Jacques	193.221852044
2	WHEELER Elaine	134.970896309
3	WHEELER Kim	355.153185237
3	GRAM Robyn	337.510101714
3	NGATAI Karen	334.466726375
3	DOYLE Adie	326.343518405
3	COSFORD Graeme	308.722463064
3	WINDELL Jacques	200.586915639
3	WHEELER Elaine	0
4	DOYLE Adie	336.523063516
4	GRAM Robyn	335.566484409
4	COSFORD Graeme	327.180755759
4	NGATAI Karen	324.899524466
4	WHEELER Kim	324.071396801
4	WINDELL Jacques	207.438864653
4	WHEELER Elaine	0
