ITER  CANDIDATE  VOTES
1  GOODHEW Jo  4335
1  BINNS Peter  3465
1  SMALL Bruce  3295
1  LUXTON Ron  2535
1  ANNEAR Paul  2228
1  CRAWFORD Rene  1026
1  GILCHRIST Barbara  962
1  DE JOUX Raeleen  902
1  CALLANDER Sam  741
1  HARREX Sue  656
1  BOORER Michael  521
1  LIGTENBERG Gerrie  482
1  MOHOAO Kari (AJ)  192
2  BINNS Peter  2940.178246966
2  SMALL Bruce  2925.988710979
2  LUXTON Ron  2918.009394014
2  ANNEAR Paul  2859.022295352
2  GOODHEW Jo  2821.727098254
2  CRAWFORD Rene  1269.229154088
2  GILCHRIST Barbara  1149.295209779
2  DE JOUX Raeleen  1107.754489943
2  CALLANDER Sam  873.063603215
2  HARREX Sue  808.035884496
2  BOORER Michael  670.956333218
2  LIGTENBERG Gerrie  571.379570536
2  MOHOAO Kari (AJ)  228.137937423
3  ANNEAR Paul  2827.972505758
3  BINNS Peter  2778.482320797
3  GOODHEW Jo  2767.96436511
3  LUXTON Ron  2758.023943909
3  SMALL Bruce  2742.250861663
3  CRAWFORD Rene  1371.963355779
3  GILCHRIST Barbara  1216.38425117
3  DE JOUX Raeleen  1199.042610955
3  CALLANDER Sam  924.103201459
3  HARREX Sue  873.600468533
3  BOORER Michael  754.97082607
3  LIGTENBERG Gerrie  610.210657681
3  MOHOAO Kari (AJ)  244.052433679
4  ANNEAR Paul  2723.236658732
4  BINNS Peter  2709.473987575
4  GOODHEW Jo  2699.948001979
4  LUXTON Ron  2698.389806645
4  SMALL Bruce  2690.491863918
4  CRAWFORD Rene  1434.253128562
4  GILCHRIST Barbara  1256.070068564
4  DE JOUX Raeleen  1252.803298043
4  CALLANDER Sam  955.137073738
4  HARREX Sue  911.951779402
4  BOORER Michael  806.367772601
4  LIGTENBERG Gerrie  631.229753226
4  MOHOAO Kari (AJ)  253.117143483
5  ANNEAR Paul  2676.186544906
5  BINNS Peter  2667.100277095
5  GOODHEW Jo  2662.507850424
5  LUXTON Ron  2662.205255302
5  SMALL Bruce  2658.042716941
5  CRAWFORD Rene  1468.58009072
5  DE JOUX Raeleen  1282.727531723
5  GILCHRIST Barbara  1277.873994709
5  CALLANDER Sam  971.957256661
5  HARREX Sue  933.343625237
5  BOORER Michael  835.102254452
5  LIGTENBERG Gerrie  643.075123747
5  MOHOAO Kari (AJ)  258.1240173
6  ANNEAR Paul  2670.072998414
6  LUXTON Ron  2665.877982405
6  BINNS Peter  2664.359880021
6  GOODHEW Jo  2657.538364496
6  SMALL Bruce  2655.005779192
6  CRAWFORD Rene  1501.241704287
6  DE JOUX Raeleen  1324.078856424
6  GILCHRIST Barbara  1313.454886301
6  CALLANDER Sam  1005.562841915
6  HARREX Sue  966.97251719
6  BOORER Michael  862.097664741
6  LIGTENBERG Gerrie  670.889511969
6  MOHOAO Kari (AJ)  0
7  ANNEAR Paul  2646.440977995
7  BINNS Peter  2641.399054195
7  GOODHEW Jo  2638.954876015
7  LUXTON Ron  2638.08009377
7  SMALL Bruce  2636.607763615
7  CRAWFORD Rene  1521.048412366
7  DE JOUX Raeleen  1341.629766042
7  GILCHRIST Barbara  1326.139370909
7  CALLANDER Sam  1015.173146696
7  HARREX Sue  979.647917854
7  BOORER Michael  879.046474615
7  LIGTENBERG Gerrie  678.051801092
7  MOHOAO Kari (AJ)  0
8  BINNS Peter  2687.464151067
8  SMALL Bruce  2682.872414791
8  LUXTON Ron  2681.959881594
8  ANNEAR Paul  2676.796929433
8  GOODHEW Jo  2663.933949679
8  CRAWFORD Rene  1579.94481653
8  GILCHRIST Barbara  1411.850786322
8  DE JOUX Raeleen  1411.62373305
8  HARREX Sue  1100.692349134
8  CALLANDER Sam  1060.202011804
8  BOORER Michael  914.200509898
8  LIGTENBERG Gerrie  0
8  MOHOAO Kari (AJ)  0
9  ANNEAR Paul  2653.129912803
9  BINNS Peter  2642.717453709
9  GOODHEW Jo  2639.867411486
9  LUXTON Ron  2639.817927264
9  SMALL Bruce  2635.361391034
9  CRAWFORD Rene  1613.593137226
9  DE JOUX Raeleen  1442.405961921
9  GILCHRIST Barbara  1434.256681157
9  HARREX Sue  1124.523745399
9  CALLANDER Sam  1076.746684015
9  BOORER Michael  942.866309789
9  LIGTENBERG Gerrie  0
9  MOHOAO Kari (AJ)  0
10  ANNEAR Paul  2627.090096377
10  BINNS Peter  2623.59814506
10  LUXTON Ron  2621.827823296
10  GOODHEW Jo  2621.429086311
10  SMALL Bruce  2619.832712409
10  CRAWFORD Rene  1631.645532747
10  DE JOUX Raeleen  1458.575759636
10  GILCHRIST Barbara  1446.085971776
10  HARREX Sue  1136.954969965
10  CALLANDER Sam  1085.655035589
10  BOORER Michael  958.229608129
10  LIGTENBERG Gerrie  0
10  MOHOAO Kari (AJ)  0
11  ANNEAR Paul  2729.697974987
11  BINNS Peter  2717.708183661
11  LUXTON Ron  2706.335561725
11  SMALL Bruce  2688.419714384
11  GOODHEW Jo  2678.280276965
11  CRAWFORD Rene  1763.679725017
11  DE JOUX Raeleen  1570.888745424
11  GILCHRIST Barbara  1525.989096214
11  HARREX Sue  1200.816834559
11  CALLANDER Sam  1160.216991779
11  BOORER Michael  0
11  LIGTENBERG Gerrie  0
11  MOHOAO Kari (AJ)  0
12  ANNEAR Paul  2659.164078121
12  BINNS Peter  2646.994875342
12  LUXTON Ron  2643.606306769
12  GOODHEW Jo  2643.516000958
12  SMALL Bruce  2637.795670169
12  CRAWFORD Rene  1830.578571519
12  DE JOUX Raeleen  1629.039252027
12  GILCHRIST Barbara  1566.894226764
12  HARREX Sue  1243.772682721
12  CALLANDER Sam  1191.458333912
12  BOORER Michael  0
12  LIGTENBERG Gerrie  0
12  MOHOAO Kari (AJ)  0
13  ANNEAR Paul  2621.510921643
