CANDIDATE  STATUS  ITER  VOTES  NTV  QUOTA  KEEP
GOODHEW Jo  elected  1  4335  0  2667.500000001  0.377153309
BINNS Peter  elected  1  3465  0  2667.500000001  0.433217189
SMALL Bruce  elected  1  3295  0  2667.500000001  0.483359379
LUXTON Ron  elected  2  2918.009394014  197.222071737  2642.847241033  0.577901126
ANNEAR Paul  elected  2  2859.022295352  197.222071737  2642.847241033  0.53317345
CRAWFORD Rene  elected  19  2596.829400426  1306.990503258  2504.126187093  0.912745633
DE JOUX Raeleen  elected  22  2490.406627541  1497.767129707  2480.279108787  1
GILCHRIST Barbara  excluded  22  2301.599858664  1497.767129707  2480.279108787  0
HARREX Sue  excluded  17  1424.699261315  935.129917882  2550.608760265  0
CALLANDER Sam  excluded  15  1222.201383052  696.623771821  2580.422028523  0
BOORER Michael  excluded  10  958.229608129  509.075258705  2603.865592662  0
LIGTENBERG Gerrie  excluded  7  678.051801092  397.780344836  2617.777456896  0
MOHOAO Kari (AJ)  excluded  5  258.1240173  343.173460783  2624.603317403  0
