ITER	CANDIDATE	VOTES
1	CLOUT Kelvin	7858
1	HOLLIS Andrew	5091
1	ROBSON John	4379
1	HUGHES Heidi	3606
1	CHRISTIANSEN Tony	2746
1	TE KANI Josh	2645
1	CURACH Rick	2331
1	GILL Matthew	1643
1	GILLON Bernie	1108
1	CANCIAN Danny	1104
1	MIKAERE Buddy	991
1	PAIGE Suzi	797
1	BROWN Geoffrey	764
1	HALL Caleb	589
1	TAIKATO Pare	421
1	WILLIAMS Kim	287
1	ROBB Hugh E.	230
1	MUNN Linda	219
1	CRAIG Rhys	134
2	CLOUT Kelvin	7388.600004742
2	HOLLIS Andrew	5155.872536886
2	ROBSON John	4443.693330983
2	HUGHES Heidi	3657.312623559
2	CHRISTIANSEN Tony	2812.126978207
2	TE KANI Josh	2662.801119698
2	CURACH Rick	2401.48765518
2	GILL Matthew	1656.679383929
2	GILLON Bernie	1127.772384631
2	CANCIAN Danny	1111.16823612
2	MIKAERE Buddy	1011.130796437
2	PAIGE Suzi	805.721353946
2	BROWN Geoffrey	770.869559615
2	HALL Caleb	598.975795267
2	TAIKATO Pare	423.329676739
2	WILLIAMS Kim	291.659353478
2	ROBB Hugh E.	233.165970953
2	MUNN Linda	220.553117826
2	CRAIG Rhys	137.58411806
3	CLOUT Kelvin	7392.434616042
3	HOLLIS Andrew	5173.376370672
3	ROBSON John	4448.891871616
3	HUGHES Heidi	3669.507585194
3	CHRISTIANSEN Tony	2825.52705593
3	TE KANI Josh	2666.410964128
3	CURACH Rick	2409.887547434
3	GILL Matthew	1672.171597388
3	GILLON Bernie	1133.167273206
3	CANCIAN Danny	1116.388610604
3	MIKAERE Buddy	1012.59120988
3	PAIGE Suzi	816.902670154
3	BROWN Geoffrey	776.146361076
3	HALL Caleb	608.356167322
3	TAIKATO Pare	424.42249528
3	WILLIAMS Kim	296.784428178
3	ROBB Hugh E.	234.270368628
3	MUNN Linda	225.695746696
3	CRAIG Rhys	0
4	CLOUT Kelvin	7380.58659324
4	HOLLIS Andrew	5175.02657184
4	ROBSON John	4450.53002752
4	HUGHES Heidi	3670.81299068
4	CHRISTIANSEN Tony	2827.2058646
4	TE KANI Josh	2666.86868416
4	CURACH Rick	2411.67476348
4	GILL Matthew	1672.52392136
4	GILLON Bernie	1133.66865732
4	CANCIAN Danny	1116.57230088
4	MIKAERE Buddy	1013.1031336
4	PAIGE Suzi	817.12400188
4	BROWN Geoffrey	776.32402872
4	HALL Caleb	608.61363484
4	TAIKATO Pare	424.4827216
4	WILLIAMS Kim	296.90337516
4	ROBB Hugh E.	234.35167416
4	MUNN Linda	225.73790512
4	CRAIG Rhys	0
5	CLOUT Kelvin	7390.7391922
5	HOLLIS Andrew	5183.111561695
5	ROBSON John	4454.80111702
5	HUGHES Heidi	3702.01737345
5	CHRISTIANSEN Tony	2831.353340395
5	TE KANI Josh	2699.99921411
5	CURACH Rick	2414.823743715
5	GILL Matthew	1678.52881079
5	GILLON Bernie	1138.799793225
