ITER	CANDIDATE	VOTES
1	POWELL Tenby	12486
1	BROWNLESS Greg	7978
1	CLOUT Kelvin	6295
1	HOLLIS Andrew	3964
1	ROBSON John	2982
1	GUY Murray	1893
1	NAGELS Jos	916
1	STOKES Christopher	897
1	KINGI RangiMarie	695
1	WALLEN Les	222
2	POWELL Tenby	12505
2	BROWNLESS Greg	7993
2	CLOUT Kelvin	6315
2	HOLLIS Andrew	4001
2	ROBSON John	3011
2	GUY Murray	1909
2	NAGELS Jos	932
2	STOKES Christopher	916
2	KINGI RangiMarie	703
2	WALLEN Les	0
3	POWELL Tenby	12554
3	BROWNLESS Greg	8029
3	CLOUT Kelvin	6375
3	HOLLIS Andrew	4074
3	ROBSON John	3044
3	GUY Murray	1962
3	STOKES Christopher	1003
3	NAGELS Jos	974
3	KINGI RangiMarie	0
3	WALLEN Les	0
4	POWELL Tenby	12696
4	BROWNLESS Greg	8105
4	CLOUT Kelvin	6484
4	HOLLIS Andrew	4219
4	ROBSON John	3132
4	GUY Murray	2031
4	STOKES Christopher	1142
4	KINGI RangiMarie	0
4	NAGELS Jos	0
4	WALLEN Les	0
5	POWELL Tenby	12857
5	BROWNLESS Greg	8180
5	CLOUT Kelvin	6610
5	HOLLIS Andrew	4381
5	ROBSON John	3235
5	GUY Murray	2128
5	KINGI RangiMarie	0
5	NAGELS Jos	0
5	STOKES Christopher	0
5	WALLEN Les	0
6	POWELL Tenby	13098
6	BROWNLESS Greg	8463
6	CLOUT Kelvin	6959
6	HOLLIS Andrew	4800
6	ROBSON John	3474
6	GUY Murray	0
6	KINGI RangiMarie	0
6	NAGELS Jos	0
6	STOKES Christopher	0
6	WALLEN Les	0
7	POWELL Tenby	13690
7	BROWNLESS Greg	8989
7	CLOUT Kelvin	7533
7	HOLLIS Andrew	5715
7	GUY Murray	0
7	KINGI RangiMarie	0
7	NAGELS Jos	0
7	ROBSON John	0
7	STOKES Christopher	0
7	WALLEN Les	0
8	POWELL Tenby	15085
8	BROWNLESS Greg	9647
8	CLOUT Kelvin	8635
8	GUY Murray	0
8	HOLLIS Andrew	0
8	KINGI RangiMarie	0
8	NAGELS Jos	0
8	ROBSON John	0
8	STOKES Christopher	0
8	WALLEN Les	0
9	POWELL Tenby	17299
9	BROWNLESS Greg	12400
9	CLOUT Kelvin	0
9	GUY Murray	0
9	HOLLIS Andrew	0
9	KINGI RangiMarie	0
9	NAGELS Jos	0
9	ROBSON John	0
9	STOKES Christopher	0
9	WALLEN Les	0
