ITER	CANDIDATE	VOTES
1	MOLLOY Terry	1543
1	SALISBURY Tina	1506
1	GRAINGER Bill	1476
1	LARSEN Anna	1340
1	TUHORO A.J.	991
1	POAD Rob	917
1	GRINDLEY David	604
1	WU Waitsu	542
1	DAVIDSON Alan	424
1	SHERLOCK Jim	330
2	MOLLOY Terry	1579
2	SALISBURY Tina	1524
2	GRAINGER Bill	1505
2	LARSEN Anna	1362
2	TUHORO A.J.	1004
2	POAD Rob	978
2	GRINDLEY David	637
2	WU Waitsu	584
2	DAVIDSON Alan	453
2	SHERLOCK Jim	0
3	MOLLOY Terry	1622
3	SALISBURY Tina	1587
3	GRAINGER Bill	1578
3	LARSEN Anna	1436
3	TUHORO A.J.	1029
3	POAD Rob	1023
3	GRINDLEY David	668
3	WU Waitsu	612
3	DAVIDSON Alan	0
3	SHERLOCK Jim	0
4	SALISBURY Tina	1698
4	MOLLOY Terry	1671
4	GRAINGER Bill	1653
4	LARSEN Anna	1526
4	POAD Rob	1103
4	TUHORO A.J.	1081
4	GRINDLEY David	700
4	DAVIDSON Alan	0
4	SHERLOCK Jim	0
4	WU Waitsu	0
5	SALISBURY Tina	1814
5	GRAINGER Bill	1732
5	MOLLOY Terry	1705
5	LARSEN Anna	1598
5	POAD Rob	1302
5	TUHORO A.J.	1128
5	DAVIDSON Alan	0
5	GRINDLEY David	0
5	SHERLOCK Jim	0
5	WU Waitsu	0
6	SALISBURY Tina	2121
6	GRAINGER Bill	1797
6	MOLLOY Terry	1769
6	LARSEN Anna	1759
6	POAD Rob	1403
6	DAVIDSON Alan	0
6	GRINDLEY David	0
6	SHERLOCK Jim	0
6	TUHORO A.J.	0
6	WU Waitsu	0
7	SALISBURY Tina	2512
7	GRAINGER Bill	1917
7	LARSEN Anna	1912
7	MOLLOY Terry	1880
7	DAVIDSON Alan	0
7	GRINDLEY David	0
7	POAD Rob	0
7	SHERLOCK Jim	0
7	TUHORO A.J.	0
7	WU Waitsu	0
8	SALISBURY Tina	2907
8	GRAINGER Bill	2335
8	LARSEN Anna	2223
8	DAVIDSON Alan	0
8	GRINDLEY David	0
8	MOLLOY Terry	0
8	POAD Rob	0
8	SHERLOCK Jim	0
8	TUHORO A.J.	0
8	WU Waitsu	0
9	SALISBURY Tina	2488.333333833
9	GRAINGER Bill	2377.918013938
9	LARSEN Anna	2343.832931859
9	DAVIDSON Alan	0
9	GRINDLEY David	0
9	MOLLOY Terry	0
9	POAD Rob	0
9	SHERLOCK Jim	0
9	TUHORO A.J.	0
9	WU Waitsu	0
10	SALISBURY Tina	2403.361427319
10	GRAINGER Bill	2386.628584334
10	LARSEN Anna	2368.356987437
10	DAVIDSON Alan	0
10	GRINDLEY David	0
10	MOLLOY Terry	0
10	POAD Rob	0
10	SHERLOCK Jim	0
10	TUHORO A.J.	0
10	WU Waitsu	0
