CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
SALISBURY Tina	elected	8	2907	2208	2488.333333334	0.826749717
GRAINGER Bill	elected	10	2386.628584334	2514.65300091	2386.115666364	1
LARSEN Anna	excluded	10	2368.356987437	2514.65300091	2386.115666364	0
MOLLOY Terry	excluded	7	1880	1452	2740.333333334	0
POAD Rob	excluded	6	1403	824	2949.666666667	0
TUHORO A.J.	excluded	5	1128	394	3093.000000001	0
GRINDLEY David	excluded	4	700	241	3144.000000001	0
WU Waitsu	excluded	3	612	118	3185.000000001	0
DAVIDSON Alan	excluded	2	453	47	3208.666666667	0
SHERLOCK Jim	excluded	1	330	0	3224.333333334	0
